ProductCode,Name,Category,Brand,Type,FixedAssetType,CostingMethod,Length,Width,Height,Weight,CartonLength,CartonWidth,CartonHeight,CartonInnerQuantity,CartonQuantity,CartonVolume,WeightUnits,DimensionUnits,Barcode,MinimumBeforeReorder,ReorderQuantity,DefaultLocation,LastSuppliedBy,SupplierProductCode,SupplierProductName,SupplierFixedPrice,PriceTier1,PriceTier2,PriceTier3,PriceTier4,PriceTier5,PriceTier6,PriceTier7,PriceTier8,PriceTier9,PriceTier10,AssemblyBOM,AutoAssemble,AutoDisassemble,DropShip,DropShipSupplier,AverageCost,DefaultUnitOfMeasure,InventoryAccount,RevenueAccount,ExpenseAccount,COGSAccount,ProductAttributeSet,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,AdditionalAttribute5,AdditionalAttribute6,AdditionalAttribute7,AdditionalAttribute8,AdditionalAttribute9,AdditionalAttribute10,DiscountName,ProductFamilySKU,ProductFamilyName,ProductFamilyOption1Name,ProductFamilyOption1Value,ProductFamilyOption2Name,ProductFamilyOption2Value,ProductFamilyOption3Name,ProductFamilyOption3Value,CommaDelimitedTags,StockLocator,PurchaseTaxRule,SaleTaxRule,Status,Description,ShortDescription,Sellable,PickZones,AlwaysShowQuantity,WarrantySetupName,InternalNote,ProductionBOM,MakeToOrderBom,QuantityToProduce,IsAccountingDimensionEnabled,DimensionAttribute1,DimensionAttribute2,DimensionAttribute3,DimensionAttribute4,DimensionAttribute5,DimensionAttribute6,DimensionAttribute7,DimensionAttribute8,DimensionAttribute9,DimensionAttribute10,HSCode,CountryOfOrigin
"BLK-16901330860030/28","Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy | 30W 28L","Rip Stop | Lightweight | Stretch Panel | Knee Pad Ready","Blaklader Workwear",Stock,,FIFO,0.0000,0.0000,0.0000,2.1140,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"7330509633144",0.0000,0.0000,TGC Storefront,Blaklader LLC,"16901330860030:28","",47.1705000,79.9500,0.0000,79.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,53.0700,Each,_36_: Inventory,_67_: Sales,,_21_: Cost of goods sold,"","","","","","","","","","","","","blaklader-169013308600","Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy","Color","8600 Dark Navy","Waist","30W","Length/Inseam","28L","Clothing, Knee Protection, Men, Pants, Rip Stop, Stretch, Stretch Panels,169013308600","","","",ACTIVE,"<h2>Lightweight Durability and Comfort</h2>
<h5>Description</h5>
<p>The Blaklader 1690 Rip Stop Pants are built for work and play. The lightweight rip stop material offers breathability while still offering extreme durability. The Blaklader Rip Stop Pants are the ideal work pants for those hot summer days on the job site. These pants are fully equipped with Cordura reinforced kneepads, cargo pockets and carpenter pockets on the legs. They also boast triple stitched seams with a lifetime warranty, and a gusseted crotch panel made from stretch material for added flexibility and comfort.</p>
<h5>Specs</h5>
<ul>
<li>FABRIC 60% cotton | 40% polyester | Ripstop | 7 oz</li>
<li>REINFORCEMENT <a href=""https://www.cordura.com/en/Fabrics/fabric-technology-explorer"" target=""_blank"" rel=""noopener noreferrer"">CORDURA&reg;</a> reinforced nail pockets, back pockets, ruler pocket, leg pockets, knees and hem, side pocket for tape measure</li>
<li>DETAILS Plastic zipper fly | Loops (one with D ring) | Stretch Panels | Inside leg seam with double stitching | Bl&aring;kl&auml;der embroidery back</li>
<li>POCKETS Back pockets with bellow, reinforced | Leg pocket with pen pocket, extra pocket and telephone pocket | Leg pocket with zipper | Thigh pocket with zipper | Knee protection pockets with two placement level options and velcro closure | Side pockets | Ruler pocket reinforced with CORDURA&reg; | Ruler pocket with extra pocket | Ruler pocket with pen pocket</li>
<li>FINISH Leg bottom with CORDURA&reg; reinforcement, Adjustable leg hem with drawstring and CORDURA&reg;-reinforcement</li>
<li>REFLEX Reflective detail on outside of each leg</li>
<li>FITS WITH all Knee pads</li>
</ul>","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","6203424516",""
"BLK-16901330860030/30","Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy | 30W 30L","Rip Stop | Lightweight | Stretch Panel | Knee Pad Ready","Blaklader Workwear",Stock,,FIFO,0.0000,0.0000,0.0000,2.1140,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"7330509633151",0.0000,0.0000,TGC Storefront,Blaklader LLC,"16901330860030:30","",47.1705000,79.9500,0.0000,79.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,47.1700,Each,_36_: Inventory,_67_: Sales,,_21_: Cost of goods sold,"","","","","","","","","","","","","blaklader-169013308600","Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy","Color","8600 Dark Navy","Waist","30W","Length/Inseam","30L","Clothing, Knee Protection, Men, Pants, Rip Stop, Stretch, Stretch Panels,169013308600","","","",ACTIVE,"<h2>Lightweight Durability and Comfort</h2>
<h5>Description</h5>
<p>The Blaklader 1690 Rip Stop Pants are built for work and play. The lightweight rip stop material offers breathability while still offering extreme durability. The Blaklader Rip Stop Pants are the ideal work pants for those hot summer days on the job site. These pants are fully equipped with Cordura reinforced kneepads, cargo pockets and carpenter pockets on the legs. They also boast triple stitched seams with a lifetime warranty, and a gusseted crotch panel made from stretch material for added flexibility and comfort.</p>
<h5>Specs</h5>
<ul>
<li>FABRIC 60% cotton | 40% polyester | Ripstop | 7 oz</li>
<li>REINFORCEMENT <a href=""https://www.cordura.com/en/Fabrics/fabric-technology-explorer"" target=""_blank"" rel=""noopener noreferrer"">CORDURA&reg;</a> reinforced nail pockets, back pockets, ruler pocket, leg pockets, knees and hem, side pocket for tape measure</li>
<li>DETAILS Plastic zipper fly | Loops (one with D ring) | Stretch Panels | Inside leg seam with double stitching | Bl&aring;kl&auml;der embroidery back</li>
<li>POCKETS Back pockets with bellow, reinforced | Leg pocket with pen pocket, extra pocket and telephone pocket | Leg pocket with zipper | Thigh pocket with zipper | Knee protection pockets with two placement level options and velcro closure | Side pockets | Ruler pocket reinforced with CORDURA&reg; | Ruler pocket with extra pocket | Ruler pocket with pen pocket</li>
<li>FINISH Leg bottom with CORDURA&reg; reinforcement, Adjustable leg hem with drawstring and CORDURA&reg;-reinforcement</li>
<li>REFLEX Reflective detail on outside of each leg</li>
<li>FITS WITH all Knee pads</li>
</ul>","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","6203424516",""
"BLK-16901330860030/32","Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy | 30W 32L","Rip Stop | Lightweight | Stretch Panel | Knee Pad Ready","Blaklader Workwear",Stock,,FIFO,0.0000,0.0000,0.0000,2.1140,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"7330509633168",0.0000,0.0000,TGC Storefront,Blaklader LLC,"16901330860030:32","",47.1705000,79.9500,0.0000,79.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,47.1700,Each,_36_: Inventory,_67_: Sales,,_21_: Cost of goods sold,"","","","","","","","","","","","","blaklader-169013308600","Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy","Color","8600 Dark Navy","Waist","30W","Length/Inseam","32L","Clothing, Knee Protection, Men, Pants, Rip Stop, Stretch, Stretch Panels,169013308600","","","",ACTIVE,"<h2>Lightweight Durability and Comfort</h2>
<h5>Description</h5>
<p>The Blaklader 1690 Rip Stop Pants are built for work and play. The lightweight rip stop material offers breathability while still offering extreme durability. The Blaklader Rip Stop Pants are the ideal work pants for those hot summer days on the job site. These pants are fully equipped with Cordura reinforced kneepads, cargo pockets and carpenter pockets on the legs. They also boast triple stitched seams with a lifetime warranty, and a gusseted crotch panel made from stretch material for added flexibility and comfort.</p>
<h5>Specs</h5>
<ul>
<li>FABRIC 60% cotton | 40% polyester | Ripstop | 7 oz</li>
<li>REINFORCEMENT <a href=""https://www.cordura.com/en/Fabrics/fabric-technology-explorer"" target=""_blank"" rel=""noopener noreferrer"">CORDURA&reg;</a> reinforced nail pockets, back pockets, ruler pocket, leg pockets, knees and hem, side pocket for tape measure</li>
<li>DETAILS Plastic zipper fly | Loops (one with D ring) | Stretch Panels | Inside leg seam with double stitching | Bl&aring;kl&auml;der embroidery back</li>
<li>POCKETS Back pockets with bellow, reinforced | Leg pocket with pen pocket, extra pocket and telephone pocket | Leg pocket with zipper | Thigh pocket with zipper | Knee protection pockets with two placement level options and velcro closure | Side pockets | Ruler pocket reinforced with CORDURA&reg; | Ruler pocket with extra pocket | Ruler pocket with pen pocket</li>
<li>FINISH Leg bottom with CORDURA&reg; reinforcement, Adjustable leg hem with drawstring and CORDURA&reg;-reinforcement</li>
<li>REFLEX Reflective detail on outside of each leg</li>
<li>FITS WITH all Knee pads</li>
</ul>","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","6203424516",""
"BLK-16901330860030/34","Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy | 30W 34L","Rip Stop | Lightweight | Stretch Panel | Knee Pad Ready","Blaklader Workwear",Stock,,FIFO,0.0000,0.0000,0.0000,2.1140,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"7330509633175",0.0000,0.0000,TGC Storefront,Blaklader LLC,"16901330860030:34","",47.1705000,79.9500,0.0000,79.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,47.1700,Each,_36_: Inventory,_67_: Sales,,_21_: Cost of goods sold,"","","","","","","","","","","","","blaklader-169013308600","Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy","Color","8600 Dark Navy","Waist","30W","Length/Inseam","34L","Clothing, Knee Protection, Men, Pants, Rip Stop, Stretch, Stretch Panels,169013308600","","","",ACTIVE,"<h2>Lightweight Durability and Comfort</h2>
<h5>Description</h5>
<p>The Blaklader 1690 Rip Stop Pants are built for work and play. The lightweight rip stop material offers breathability while still offering extreme durability. The Blaklader Rip Stop Pants are the ideal work pants for those hot summer days on the job site. These pants are fully equipped with Cordura reinforced kneepads, cargo pockets and carpenter pockets on the legs. They also boast triple stitched seams with a lifetime warranty, and a gusseted crotch panel made from stretch material for added flexibility and comfort.</p>
<h5>Specs</h5>
<ul>
<li>FABRIC 60% cotton | 40% polyester | Ripstop | 7 oz</li>
<li>REINFORCEMENT <a href=""https://www.cordura.com/en/Fabrics/fabric-technology-explorer"" target=""_blank"" rel=""noopener noreferrer"">CORDURA&reg;</a> reinforced nail pockets, back pockets, ruler pocket, leg pockets, knees and hem, side pocket for tape measure</li>
<li>DETAILS Plastic zipper fly | Loops (one with D ring) | Stretch Panels | Inside leg seam with double stitching | Bl&aring;kl&auml;der embroidery back</li>
<li>POCKETS Back pockets with bellow, reinforced | Leg pocket with pen pocket, extra pocket and telephone pocket | Leg pocket with zipper | Thigh pocket with zipper | Knee protection pockets with two placement level options and velcro closure | Side pockets | Ruler pocket reinforced with CORDURA&reg; | Ruler pocket with extra pocket | Ruler pocket with pen pocket</li>
<li>FINISH Leg bottom with CORDURA&reg; reinforcement, Adjustable leg hem with drawstring and CORDURA&reg;-reinforcement</li>
<li>REFLEX Reflective detail on outside of each leg</li>
<li>FITS WITH all Knee pads</li>
</ul>","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","6203424516",""
"BLK-16901330860032/28","Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy | 32W 28L","Rip Stop | Lightweight | Stretch Panel | Knee Pad Ready","Blaklader Workwear",Stock,,FIFO,0.0000,0.0000,0.0000,2.1140,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"7330509633182",0.0000,0.0000,TGC Storefront,Blaklader LLC,"16901330860032:28","",47.1705000,79.9500,0.0000,79.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,53.0700,Each,_36_: Inventory,_67_: Sales,,_21_: Cost of goods sold,"","","","","","","","","","","","","blaklader-169013308600","Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy","Color","8600 Dark Navy","Waist","32W","Length/Inseam","28L","Clothing, Knee Protection, Men, Pants, Rip Stop, Stretch, Stretch Panels,169013308600","","","",ACTIVE,"<h2>Lightweight Durability and Comfort</h2>
<h5>Description</h5>
<p>The Blaklader 1690 Rip Stop Pants are built for work and play. The lightweight rip stop material offers breathability while still offering extreme durability. The Blaklader Rip Stop Pants are the ideal work pants for those hot summer days on the job site. These pants are fully equipped with Cordura reinforced kneepads, cargo pockets and carpenter pockets on the legs. They also boast triple stitched seams with a lifetime warranty, and a gusseted crotch panel made from stretch material for added flexibility and comfort.</p>
<h5>Specs</h5>
<ul>
<li>FABRIC 60% cotton | 40% polyester | Ripstop | 7 oz</li>
<li>REINFORCEMENT <a href=""https://www.cordura.com/en/Fabrics/fabric-technology-explorer"" target=""_blank"" rel=""noopener noreferrer"">CORDURA&reg;</a> reinforced nail pockets, back pockets, ruler pocket, leg pockets, knees and hem, side pocket for tape measure</li>
<li>DETAILS Plastic zipper fly | Loops (one with D ring) | Stretch Panels | Inside leg seam with double stitching | Bl&aring;kl&auml;der embroidery back</li>
<li>POCKETS Back pockets with bellow, reinforced | Leg pocket with pen pocket, extra pocket and telephone pocket | Leg pocket with zipper | Thigh pocket with zipper | Knee protection pockets with two placement level options and velcro closure | Side pockets | Ruler pocket reinforced with CORDURA&reg; | Ruler pocket with extra pocket | Ruler pocket with pen pocket</li>
<li>FINISH Leg bottom with CORDURA&reg; reinforcement, Adjustable leg hem with drawstring and CORDURA&reg;-reinforcement</li>
<li>REFLEX Reflective detail on outside of each leg</li>
<li>FITS WITH all Knee pads</li>
</ul>","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","6203424516",""
"BLK-16901330860032/30","Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy | 32W 30L","Rip Stop | Lightweight | Stretch Panel | Knee Pad Ready","Blaklader Workwear",Stock,,FIFO,0.0000,0.0000,0.0000,2.1140,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"7330509633199",0.0000,0.0000,TGC Storefront,Blaklader LLC,"16901330860032:30","",47.1705000,79.9500,0.0000,79.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,50.1200,Each,_36_: Inventory,_67_: Sales,,_21_: Cost of goods sold,"","","","","","","","","","","","","blaklader-169013308600","Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy","Color","8600 Dark Navy","Waist","32W","Length/Inseam","30L","Clothing, Knee Protection, Men, Pants, Rip Stop, Stretch, Stretch Panels,169013308600","","","",ACTIVE,"<h2>Lightweight Durability and Comfort</h2>
<h5>Description</h5>
<p>The Blaklader 1690 Rip Stop Pants are built for work and play. The lightweight rip stop material offers breathability while still offering extreme durability. The Blaklader Rip Stop Pants are the ideal work pants for those hot summer days on the job site. These pants are fully equipped with Cordura reinforced kneepads, cargo pockets and carpenter pockets on the legs. They also boast triple stitched seams with a lifetime warranty, and a gusseted crotch panel made from stretch material for added flexibility and comfort.</p>
<h5>Specs</h5>
<ul>
<li>FABRIC 60% cotton | 40% polyester | Ripstop | 7 oz</li>
<li>REINFORCEMENT <a href=""https://www.cordura.com/en/Fabrics/fabric-technology-explorer"" target=""_blank"" rel=""noopener noreferrer"">CORDURA&reg;</a> reinforced nail pockets, back pockets, ruler pocket, leg pockets, knees and hem, side pocket for tape measure</li>
<li>DETAILS Plastic zipper fly | Loops (one with D ring) | Stretch Panels | Inside leg seam with double stitching | Bl&aring;kl&auml;der embroidery back</li>
<li>POCKETS Back pockets with bellow, reinforced | Leg pocket with pen pocket, extra pocket and telephone pocket | Leg pocket with zipper | Thigh pocket with zipper | Knee protection pockets with two placement level options and velcro closure | Side pockets | Ruler pocket reinforced with CORDURA&reg; | Ruler pocket with extra pocket | Ruler pocket with pen pocket</li>
<li>FINISH Leg bottom with CORDURA&reg; reinforcement, Adjustable leg hem with drawstring and CORDURA&reg;-reinforcement</li>
<li>REFLEX Reflective detail on outside of each leg</li>
<li>FITS WITH all Knee pads</li>
</ul>","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","6203424516",""
"BLK-16901330860032/32","Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy | 32W 32L","Rip Stop | Lightweight | Stretch Panel | Knee Pad Ready","Blaklader Workwear",Stock,,FIFO,0.0000,0.0000,0.0000,2.1140,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"7330509633205",0.0000,0.0000,TGC Storefront,Blaklader LLC,"16901330860032:32","",47.1705000,79.9500,0.0000,79.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,48.7791,Each,_36_: Inventory,_67_: Sales,,_21_: Cost of goods sold,"","","","","","","","","","","","","blaklader-169013308600","Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy","Color","8600 Dark Navy","Waist","32W","Length/Inseam","32L","Clothing, Knee Protection, Men, Pants, Rip Stop, Stretch, Stretch Panels,169013308600","","","",ACTIVE,"<h2>Lightweight Durability and Comfort</h2>
<h5>Description</h5>
<p>The Blaklader 1690 Rip Stop Pants are built for work and play. The lightweight rip stop material offers breathability while still offering extreme durability. The Blaklader Rip Stop Pants are the ideal work pants for those hot summer days on the job site. These pants are fully equipped with Cordura reinforced kneepads, cargo pockets and carpenter pockets on the legs. They also boast triple stitched seams with a lifetime warranty, and a gusseted crotch panel made from stretch material for added flexibility and comfort.</p>
<h5>Specs</h5>
<ul>
<li>FABRIC 60% cotton | 40% polyester | Ripstop | 7 oz</li>
<li>REINFORCEMENT <a href=""https://www.cordura.com/en/Fabrics/fabric-technology-explorer"" target=""_blank"" rel=""noopener noreferrer"">CORDURA&reg;</a> reinforced nail pockets, back pockets, ruler pocket, leg pockets, knees and hem, side pocket for tape measure</li>
<li>DETAILS Plastic zipper fly | Loops (one with D ring) | Stretch Panels | Inside leg seam with double stitching | Bl&aring;kl&auml;der embroidery back</li>
<li>POCKETS Back pockets with bellow, reinforced | Leg pocket with pen pocket, extra pocket and telephone pocket | Leg pocket with zipper | Thigh pocket with zipper | Knee protection pockets with two placement level options and velcro closure | Side pockets | Ruler pocket reinforced with CORDURA&reg; | Ruler pocket with extra pocket | Ruler pocket with pen pocket</li>
<li>FINISH Leg bottom with CORDURA&reg; reinforcement, Adjustable leg hem with drawstring and CORDURA&reg;-reinforcement</li>
<li>REFLEX Reflective detail on outside of each leg</li>
<li>FITS WITH all Knee pads</li>
</ul>","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","6203424516",""
"BLK-16901330860032/34","Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy | 32W 34L","Rip Stop | Lightweight | Stretch Panel | Knee Pad Ready","Blaklader Workwear",Stock,,FIFO,0.0000,0.0000,0.0000,2.1140,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"7330509633212",0.0000,0.0000,TGC Storefront,Blaklader LLC,"16901330860032:34","",47.1705000,79.9500,0.0000,79.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,53.0708,Each,_36_: Inventory,_67_: Sales,,_21_: Cost of goods sold,"","","","","","","","","","","","","blaklader-169013308600","Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy","Color","8600 Dark Navy","Waist","32W","Length/Inseam","34L","Clothing, Knee Protection, Men, Pants, Rip Stop, Stretch, Stretch Panels,169013308600","","","",ACTIVE,"<h2>Lightweight Durability and Comfort</h2>
<h5>Description</h5>
<p>The Blaklader 1690 Rip Stop Pants are built for work and play. The lightweight rip stop material offers breathability while still offering extreme durability. The Blaklader Rip Stop Pants are the ideal work pants for those hot summer days on the job site. These pants are fully equipped with Cordura reinforced kneepads, cargo pockets and carpenter pockets on the legs. They also boast triple stitched seams with a lifetime warranty, and a gusseted crotch panel made from stretch material for added flexibility and comfort.</p>
<h5>Specs</h5>
<ul>
<li>FABRIC 60% cotton | 40% polyester | Ripstop | 7 oz</li>
<li>REINFORCEMENT <a href=""https://www.cordura.com/en/Fabrics/fabric-technology-explorer"" target=""_blank"" rel=""noopener noreferrer"">CORDURA&reg;</a> reinforced nail pockets, back pockets, ruler pocket, leg pockets, knees and hem, side pocket for tape measure</li>
<li>DETAILS Plastic zipper fly | Loops (one with D ring) | Stretch Panels | Inside leg seam with double stitching | Bl&aring;kl&auml;der embroidery back</li>
<li>POCKETS Back pockets with bellow, reinforced | Leg pocket with pen pocket, extra pocket and telephone pocket | Leg pocket with zipper | Thigh pocket with zipper | Knee protection pockets with two placement level options and velcro closure | Side pockets | Ruler pocket reinforced with CORDURA&reg; | Ruler pocket with extra pocket | Ruler pocket with pen pocket</li>
<li>FINISH Leg bottom with CORDURA&reg; reinforcement, Adjustable leg hem with drawstring and CORDURA&reg;-reinforcement</li>
<li>REFLEX Reflective detail on outside of each leg</li>
<li>FITS WITH all Knee pads</li>
</ul>","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","6203424516",""
