Item ID,Created Time,Last Modified Time,Item Name,Sales Description,Selling Price,Sales Account,Is Returnable Item,Brand,Manufacturer,Package Weight,Package Length,Package Width,Package Height,Dimension Unit,Weight Unit,Is Receivable Service,Taxable,Exemption Reason,Product Type,Source,Reference ID,Last Sync Time,Status,Unit,Unit Name,SKU,UPC,EAN,ISBN,Part Number,Purchase Price,Purchase Account,Purchase Description,Inventory Account,Inventory Valuation Method,Reorder Level,Preferred Vendor,Location Name,Opening Stock,Opening Stock Value,Stock On Hand,Is Combo Product,Enable Bin Tracking,Item Type,Sellable,Purchasable,Track Inventory
7047058000000307716,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 30W / 28L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860030/28,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,3,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307718,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 30W / 30L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860030/30,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,3,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307720,2025-09-02 13:05:44,2025-09-26 8:30:46,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 30W / 32L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860030/32,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,1,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307722,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 30W / 34L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860030/34,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,2,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307724,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 32W / 28L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860032/28,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,4,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307726,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 32W / 30L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860032/30,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,3,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307728,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 32W / 32L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860032/32,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,10,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307730,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 32W / 34L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860032/34,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,2,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307732,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 34W / 30L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860034/30,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,3,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307734,2025-09-02 13:05:44,2025-09-26 8:30:46,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 34W / 32L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860034/32,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,0,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307736,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 34W / 34L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860034/34,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,0,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307738,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 34W / 36L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860034/36,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,5,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307740,2025-09-02 13:05:44,2025-09-26 8:30:46,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 36W / 30L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860036/30,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,9,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307742,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 36W / 32L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860036/32,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,1,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307744,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 36W / 34L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860036/34,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,6,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307746,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 36W / 36L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860036/36,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,2,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307748,2025-09-02 13:05:44,2025-09-26 8:30:46,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 38W / 30L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860038/30,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,1,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307750,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 38W / 32L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860038/32,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,2,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307752,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 38W / 34L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860038/34,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,1,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307754,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 38W / 36L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860038/36,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,1,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307756,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 40W / 30L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860040/30,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,0,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307758,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 40W / 32L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860040/32,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,2,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307760,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 40W / 34L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860040/34,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,2,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307762,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 40W / 36L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860040/36,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,2,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307764,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 42W / 30L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860042/30,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,1,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307766,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 42W / 32L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860042/32,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,0,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307768,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 42W / 34L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860042/34,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,3,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307770,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 44W / 30L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860044/30,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,0,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307772,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 44W / 32L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860044/32,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,0,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307774,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 44W / 34L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860044/34,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,0,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307776,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 46W / 30L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860046/30,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,0,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307778,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 46W / 32L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860046/32,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,1,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307780,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 46W / 34L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860046/34,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,0,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307782,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 48W / 30L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860048/30,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,1,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307784,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 48W / 32L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860048/32,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,1,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307786,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 50W / 30L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860050/30,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,0,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE
7047058000000307788,2025-09-02 13:05:44,2025-10-06 12:50:05,Blaklader 1690 Rip Stop Pants with Stretch | Dark Navy - 8600 Dark Navy / 50W / 32L,,USD 84.95,Sales,TRUE,Blaklader Workwear,Blaklader Workwear,0,0,0,0,in,lb,,TRUE,,goods,1,,,Active,ea,Each,BLK-16901330860050/32,,,,,USD 50.12,Cost of goods sold,,Inventory Asset,fifo,,,,,,0,FALSE,FALSE,Inventory,TRUE,TRUE,TRUE